Camera,Phase,Species,Detections,Latitude,Longitude,Operation,RAI,Ind_Dogs,Dogs_Scaled,LGD,Sheep,elevation.clean,slope.clean,vegetation.clean,fence.dist.clean,road.dist.clean,water.dist.clean,rugged9.clean,rugged25.clean,rugged49.clean,rugged81.clean,rugged121.clean,viewshed.clean,viewshed.reclass.clean,ndvi.16.clean.1,veg.edges.dist.clean,chap.edges.dist.clean,ndvi.16.clean.2
A03,1,LYRU,1,39.0347,-123.10165,615,0.001626016,0,,N,,-0.403376549,-0.175954252,9,-0.383897305,-0.336118668,2.795384884,-0.689526618,-1.090613365,-1.087444544,-0.166420594,0.260363519,0.602105796,0.3794415,1.457830787,1.502854943,-0.669198811,1.457830787
A03,1,Dogs,0,39.0347,-123.10165,615,0,0,,N,,-0.403376549,-0.293160945,5,-0.008506075,-0.71219635,0.644813418,-0.593704879,-0.644418061,-0.550065875,-0.99749136,-0.72630167,0.978189111,0.3794415,-1.650330186,0.516485691,1.258448839,-1.650330186
A13,1,LYRU,3,39.00059,-123.10008,609,0.004926108,0,,N,,-1.310959101,0.926839113,2,0.068288207,0.103288978,2.987707853,-0.429883748,0.06344422,1.1777879,1.356940627,1.255166888,-1.195210099,-1.766723156,-0.253258646,-0.208806589,-0.876905084,-0.253258646
A13,1,Dogs,0,39.00059,-123.10008,609,0,0,,N,,-1.310959101,0.457511187,9,-0.777573228,-0.079486586,0.966162324,-0.195756629,-0.517235994,-0.366822392,-0.723082721,-0.178873166,2.905365705,0.3794415,1.743335128,-0.326738656,-0.738556206,1.743335128
B02,1,LYRU,6,39.03789,-123.09434,501,0.011976048,0,,N,,0.760355115,-0.548626602,9,-0.524415374,-0.393291384,-0.347791553,-0.812437057,-0.636243522,-0.394247204,-0.657221258,-0.733949065,1.78573525,0.3794415,1.378777862,0.59739393,-0.687786877,1.378777862
B02,1,Dogs,0,39.03789,-123.09434,501,0,0,,N,,0.760355115,0.018598881,9,-0.7547791,-0.953355253,-0.143219486,0.160694301,-0.431497335,-0.631845057,-0.909693956,-1.215317488,0.424965262,0.3794415,-0.328531027,-0.184911013,0.150007531,-0.328531027
B04,1,LYRU,6,39.03127,-123.09418,587,0.010221465,0,,N,,-0.090064593,-0.419546425,9,-0.294555962,-0.894422531,-0.700278938,-0.817209959,-0.956948936,-1.09750247,-0.244867504,-0.359064817,-0.548569739,0.3794415,-0.986794293,-0.498623639,0.63785553,-0.986794293
B04,1,Dogs,0,39.03127,-123.09418,587,0,0,,N,,-0.090064593,1.902149558,2,-0.090570502,-0.093117177,-0.537180543,0.432242572,2.049540997,2.555002213,0.815975428,0.334200889,0.812566519,0.3794415,0.405926675,-0.727409363,-0.937587142,0.405926675
B06,1,LYRU,11,39.02517,-123.09378,588,0.018707483,0,,N,,-0.175824359,-0.755229831,9,-0.069203682,1.252879024,-0.102492861,-0.415296704,-0.555824876,0.105729274,0.807440996,0.611744106,-1.256874204,-3.010366917,-1.145240664,-0.040366977,1.340163946,-1.145240664
B06,1,Dogs,0,39.02517,-123.09378,588,0,0,,N,,-0.175824359,-1.520596504,2,-0.57423687,-0.644801378,1.122071147,-0.580511272,-0.277040094,0.689302981,1.395167112,0.993032634,0.389786154,0.3794415,0.05239768,-0.316721529,-0.889532328,0.05239768
B08,1,LYRU,0,39.0181,-123.0933,633,0,0,,N,,-0.631862342,0.869054139,2,-0.7048347,0.215345636,0.554936588,0.44094184,0.43365705,0.308583081,-0.192312375,-0.036863964,-0.742225945,0.079268284,-0.075533867,-0.781959355,-0.943970084,-0.075533867
B08,1,Dogs,0,39.0181,-123.0933,633,0,0,,N,,-0.631862342,-0.446681172,5,0.016576238,-0.229024932,-0.573844075,0.422941238,0.11361102,-0.297320783,-0.400353879,-0.546584666,0.856757641,0.3794415,-1.164637327,-0.03312308,-0.669347763,-1.164637327
B10,1,LYRU,9,39.01139,-123.09276,630,0.014285714,0,,N,,-1.153982282,-1.111581326,5,-0.552322209,-0.504206955,-0.105849288,-0.873957515,-0.90191406,-0.541532218,-0.62086463,-0.758101702,0.038858745,0.3794415,-1.054659843,-0.385518134,-0.352413893,-1.054659843
B10,1,Dogs,0,39.01139,-123.09276,630,0,0,,N,,-1.153982282,-0.662696481,5,-0.105506405,1.283265352,-0.646761417,-0.297726274,-0.11746864,-0.431061387,-0.714744329,-0.091980778,-1.009053946,0.3794415,-1.331659794,0.083042137,0.51791507,-1.331659794
B12,1,LYRU,2,39.0043,-123.09306,602,0.003322259,0,,N,,-0.933145761,1.103635073,5,1.039759636,1.540347815,-0.854983807,-0.336538821,1.256529808,1.562342763,2.920665979,2.116460323,-0.381627828,0.3794415,-1.183951974,0.827420115,-0.755655587,-1.183951974
B12,1,Dogs,0,39.0043,-123.09306,602,0,0,,N,,-0.933145761,0.392310947,5,0.712536216,0.513235748,-0.803314447,-0.429644138,0.493409365,0.772947192,0.740105987,0.393130362,-0.503362775,0.3794415,-1.396874785,-0.098904632,-0.479029357,-1.396874785
B14,1,LYRU,4,38.99797,-123.09263,602,0.006644518,1,,Y,,-1.038579583,-1.526544571,4,-1.028569937,-0.817798018,-0.961223841,-0.912730575,-0.935225844,0.457609206,1.331799507,1.058595538,0.852154911,0.3794415,0.460682213,-0.882661045,-0.955753207,0.460682213
B14,1,Dogs,1,38.99797,-123.09263,602,0.00166113,1,,Y,,-1.038579583,0.388185173,2,1.865726471,-0.019886849,0.610615611,-0.558284223,-0.463574976,-0.566507399,-0.32513687,-0.593026459,-0.686443865,0.3794415,-0.567455173,-0.333560079,-0.891502559,-0.567455173
C03,1,LYRU,14,39.03551,-123.08639,620,0.022580645,0,,N,,1.108817816,-0.28846249,5,-0.964025319,0.529838085,-0.610222757,-0.434592605,-0.020739049,-0.369106084,-0.619850099,-0.830192268,-0.375862688,0.3794415,-0.537531853,-0.862675369,-0.831335962,-0.537531853
C03,1,Dogs,0,39.03551,-123.08639,620,0,0,,N,,1.108817816,-1.004564047,5,0.059638161,0.659296572,0.093769506,-0.241972655,0.051734511,0.047610059,-0.83617425,-1.089254737,-0.706548929,0.3794415,0.519208312,-0.705195487,0.318049401,0.519208312
C05,1,LYRU,2,39.02836,-123.08619,573,0.003490401,0,,N,,0.663161099,-0.429488808,5,-0.278587222,0.805100262,-0.678063571,1.002958417,0.371602833,0.035271123,-0.709258676,-0.474934995,0.810809135,0.3794415,-1.184317231,-0.418791205,2.368860722,-1.184317231
C05,1,Dogs,0,39.02836,-123.08619,573,0,0,,N,,0.663161099,1.515193701,9,-0.613995016,0.494240791,-0.575475931,-0.512109041,0.620879948,0.584344625,0.71180594,0.917906046,1.85942018,0.3794415,1.429603696,2.129580259,1.174814343,1.429603696
