Camera,Latitude,Longitude,Operation
A03,39.0347,-123.10165,467
A13,39.00059,-123.10008,466
B02,39.03789,-123.09434,463
B04,39.03127,-123.09418,470
B06,39.02517,-123.09378,478
B08,39.0181,-123.0933,478
B10,39.01139,-123.09276,478
B12,39.0043,-123.09306,443
B14,38.99797,-123.09263,468
C03,39.03551,-123.08639,470
C05,39.02836,-123.08619,470
C07,39.02201,-123.08588,463
C09,39.01465,-123.08611,445
C11,39.0082,-123.08518,469
C15,38.99488,-123.08437,450
C17,38.98819,-123.08453,446
D04,39.032,-123.07932,470
D06,39.02524,-123.0786,459
D08,39.01839,-123.07802,470
D10,39.01199,-123.07796,450
D12,39.00478,-123.07772,469
D14,38.99776,-123.07731,457
D16,38.99145,-123.07739,453
E05,39.02881,-123.07079,463
E07,39.0221,-123.0712,450
E09,39.0153,-123.0707,454
E11,39.00868,-123.07081,470
E13,39.00151,-123.07004,466
E15,38.99478,-123.06953,457
E17,38.98867,-123.06975,463
F04,39.03244,-123.06379,458
F06,39.02548,-123.06373,475
F08,39.01849,-123.06368,461
F10,39.01194,-123.063,451
G09,39.01552,-123.05519,469
G11,39.009,-123.05591,444
