Camera,Camera_folder,Species,DateTimeOriginal,Date,Time,delta.time.secs,Directory,FileName,DST,Time_DST_Corrected,Time_Decimal,Time_Scaled,Time_Radians,Time_Sun
A03,A03_031517_053117,Bobcat,3/15/2017 20:13,3/15/2017,20:13:29,0,Reviewed/A03_031517_053117/Bobcat,IMG_0001.JPG,TRUE,20H 13M 29S,20.22472222,0.842696759,5.294819896,4.945903888
A13,A13_092916_022217,Bobcat,2/10/2017 10:30,2/10/2017,10:30:23,0,Reviewed/A13_092916_022217/Bobcat,IMG_0094.JPG,FALSE,10H 30M 23S,10.50638889,0.437766204,2.750566179,2.56585358
A13,A13_100417_121217,Bobcat,11/27/2017 16:34,11/27/2017,16:34:58,0,Reviewed/A13_100417_121217/Bobcat,IMG_0118.JPG,FALSE,16H 34M 58S,16.58277778,0.690949074,4.34136107,4.623829314
B02,B02_092017_120717,Bobcat,11/13/2017 18:19,11/13/2017,18:19:56,2008371,Reviewed/B02_092017_120717/Bobcat,IMG_2785.JPG,FALSE,18H 19M 56S,18.33222222,0.763842593,4.799364555,5.01544235
B04,B04_110516_031317,Bobcat,12/18/2016 18:53,12/18/2016,18:53:51,0,Reviewed/B04_110516_031317/Bobcat,IMG_1663.JPG,FALSE,18H 53M 51S,18.8975,0.787395833,4.947353931,5.149382765
B04,B04_110516_031317,Bobcat,1/17/2017 18:39,1/17/2017,18:39:20,342561,Reviewed/B04_110516_031317/Bobcat,IMG_2410.JPG,FALSE,18H 39M 20S,18.65555556,0.777314815,4.884013023,5.016673403
B06,B06_072516_120216,Bobcat,9/3/2016 11:19,9/3/2016,11:19:24,464786,Reviewed/B06_072516_120216/Bobcat,2016 09 03 11 19 24.jpg,TRUE,11H 19M 24S,11.32333333,0.471805556,2.964441735,2.688933575
B06,B06_120316_030817,Bobcat,12/20/2016 15:02,12/20/2016,15:02:39,726634,Reviewed/B06_120316_030817/Bobcat,IMG_0079.JPG,FALSE,15H 2M 39S,15.04416667,0.626840278,3.938553623,4.098673026
B10,B10_092916_022217,Bobcat,12/8/2016 2:20,12/8/2016,2:20:43,0,Reviewed/B10_092916_022217/Bobcat,IMG_0202.JPG,FALSE,2H 20M 43S,2.345277778,0.097719907,0.613992286,0.492281996
B10,B10_092916_022217,Bobcat,12/24/2016 12:55,12/24/2016,12:55:37,996514,Reviewed/B10_092916_022217/Bobcat,IMG_0241.JPG,FALSE,12H 55M 37S,12.92694444,0.538622685,3.384266142,3.381958951
B10,B10_092916_022217,Bobcat,1/29/2017 5:19,1/29/2017,5:19:34,166677,Reviewed/B10_092916_022217/Bobcat,IMG_0316.JPG,FALSE,5H 19M 34S,5.326111111,0.221921296,1.394372628,1.111452243
B12,B12_092916_022217,Bobcat,1/6/2017 3:42,1/6/2017,3:42:59,99197,Reviewed/B12_092916_022217/Bobcat,IMG_0568.JPG,FALSE,3H 42M 59S,3.716388889,0.154849537,0.972948336,0.741856476
B14,B14_071916_120316,Bobcat,11/15/2016 17:35,11/15/2016,17:35:35,0,Reviewed/B14_071916_120316/Bobcat,2016 11 15 17 35 35.jpg,FALSE,17H 35M 35S,17.59305556,0.733043981,4.605851174,4.854130838
C03,C03_021817_060917,Bobcat,5/16/2017 12:21,5/16/2017,12:21:58,7168425,Reviewed/C03_021817_060917/Bobcat,IMG_0559.JPG,TRUE,12H 21M 58S,12.36611111,0.51525463,3.237440318,2.970140733
C03,C03_040316_061116,Bobcat,5/24/2016 6:33,5/24/2016,6:33:23,1121591,Reviewed/C03_040316_061116/Bobcat,2016 05 24 06 33 23.jpg,TRUE,6H 33M 23S,6.556388889,0.27318287,1.716458597,1.718414503
C03,C03_060917_092017,Bobcat,9/8/2017 13:19,9/8/2017,13:19:40,0,Reviewed/C03_060917_092017/Bobcat,IMG_7138.JPG,TRUE,13H 19M 40S,13.32777778,0.555324074,3.489204063,3.183465822
C03,C03_092017_121417,Bobcat,10/30/2017 6:19,10/30/2017,6:19:47,2820808,Reviewed/C03_092017_121417/Bobcat,IMG_2296.JPG,TRUE,6H 19M 47S,6.329722222,0.263738426,1.657117403,1.265756703
C03,C03_092916_021817,Bobcat,11/22/2016 10:39,11/22/2016,10:39:15,0,Reviewed/C03_092916_021817/Bobcat,IMG_0502.JPG,FALSE,10H 39M 15S,10.65416667,0.443923611,2.789254311,2.719600227
C03,C03_092916_021817,Bobcat,2/13/2017 18:09,2/13/2017,18:09:30,2634316,Reviewed/C03_092916_021817/Bobcat,IMG_0823.JPG,FALSE,18H 9M 30S,18.15833333,0.756597222,4.75384055,4.797558055
C05,C05_112416_031317,Bobcat,12/13/2016 17:59,12/13/2016,17:59:15,0,Reviewed/C05_112416_031317/Bobcat,IMG_0037.JPG,FALSE,17H 59M 15S,17.9875,0.749479167,4.709116488,4.959542082
C09,C09_090717_120817,Bobcat,10/21/2017 8:09,10/21/2017,8:09:54,0,Reviewed/C09_090717_120817/Bobcat,IMG_0202.JPG,TRUE,8H 9M 54S,8.165,0.340208333,2.137592001,1.769741834
C11,C11_031617_060917,Dog,3/23/2017 21:42,3/23/2017,21:42:51,48425,Reviewed/C11_031617_060917/Dog,IMG_0412.JPG,TRUE,21H 42M 51S,21.71416667,0.904756944,5.68475554,5.31690985
C11,C11_031617_060917,Dog,4/1/2017 6:14,4/1/2017,6:14:47,111077,Reviewed/C11_031617_060917/Dog,IMG_1519.JPG,TRUE,6H 14M 47S,6.246388889,0.260266204,1.635300787,1.378919325
C11,C11_031617_060917,Dog,5/24/2017 5:19,5/24/2017,5:19:10,344174,Reviewed/C11_031617_060917/Dog,IMG_3322.JPG,TRUE,5H 19M 10S,5.319444444,0.221643519,1.392627299,1.386050806
C11,C11_031617_060917,Dog,6/3/2017 5:28,6/3/2017,5:28:30,604048,Reviewed/C11_031617_060917/Dog,IMG_4945.JPG,TRUE,5H 28M 30S,5.475,0.228125,1.433351648,1.461858004
C11,C11_031617_060917,Sheep,3/20/2017 17:54,3/20/2017,17:54:48,4565,Reviewed/C11_031617_060917/Sheep,IMG_0035.JPG,TRUE,17H 54M 48S,17.91333333,0.746388889,4.6896997,4.325375078
C11,C11_031617_060917,Sheep,3/21/2017 8:31,3/21/2017,8:31:04,4475,Reviewed/C11_031617_060917/Sheep,IMG_0061.JPG,TRUE,8H 31M 4S,8.517777778,0.354907407,2.229949008,1.903236169
C11,C11_031617_060917,Sheep,3/21/2017 16:31,3/21/2017,16:31:17,5750,Reviewed/C11_031617_060917/Sheep,IMG_0103.JPG,TRUE,16H 31M 17S,16.52138889,0.688391204,4.325289497,3.964099468
C11,C11_031617_060917,Sheep,3/22/2017 10:23,3/22/2017,10:23:54,34963,Reviewed/C11_031617_060917/Sheep,IMG_0133.JPG,TRUE,10H 23M 54S,10.39833333,0.433263889,2.722277301,2.391364929
C11,C11_031617_060917,Sheep,3/22/2017 14:21,3/22/2017,14:21:53,7912,Reviewed/C11_031617_060917/Sheep,IMG_0148.JPG,TRUE,14H 21M 53S,14.36472222,0.598530093,3.760675484,3.409122479
C11,C11_031617_060917,Sheep,3/22/2017 19:29,3/22/2017,19:29:21,10474,Reviewed/C11_031617_060917/Sheep,IMG_0193.JPG,TRUE,19H 29M 21S,19.48916667,0.812048611,5.102251902,4.7245139
C11,C11_031617_060917,Sheep,3/23/2017 9:19,3/23/2017,9:19:04,2502,Reviewed/C11_031617_060917/Sheep,IMG_0298.JPG,TRUE,9H 19M 4S,9.317777778,0.388240741,2.439388518,2.118938187
C11,C11_031617_060917,Sheep,3/23/2017 12:10,3/23/2017,12:10:44,2004,Reviewed/C11_031617_060917/Sheep,IMG_0319.JPG,TRUE,12H 10M 44S,12.17888889,0.507453704,3.188425655,2.850541526
C11,C11_031617_060917,Sheep,3/23/2017 16:58,3/23/2017,16:58:58,1587,Reviewed/C11_031617_060917/Sheep,IMG_0355.JPG,TRUE,16H 58M 58S,16.98277778,0.707615741,4.446080825,4.078924841
C11,C11_031617_060917,Sheep,3/23/2017 19:00,3/23/2017,19:00:33,1566,Reviewed/C11_031617_060917/Sheep,IMG_0404.JPG,TRUE,19H 0M 33S,19.00916667,0.792048611,4.976588196,4.597084681
C11,C11_031617_060917,Sheep,3/24/2017 3:55,3/24/2017,3:55:25,7252,Reviewed/C11_031617_060917/Sheep,IMG_0421.JPG,TRUE,3H 55M 25S,3.923611111,0.163483796,1.027198987,0.702934164
