Camera,Phase,Species,Detections,Latitude,Longitude,Operation,Foxlight,Sheep_Presence,RAI,Dog_RAI,Ind_Dogs,Elevation,Rugged.121,Dist.Water
Cam01,Phase1,LYRU,4,39.00481,-123.09086,34,FoxN,Y,0.117647059,0.02941176,1,-1.230757236,0.494383156,-0.575187683
Cam01,Phase2,LYRU,2,39.00481,-123.09086,64,FoxY,Y,0.03125,0.03125,2,-1.230757236,0.494383156,-0.575187683
Cam01,Phase3,LYRU,0,39.00481,-123.09086,35,FoxN,Y,0,0.02857143,2,-1.230757236,0.494383156,-0.575187683
Cam01,Phase4,LYRU,1,39.00481,-123.09086,35,FoxY,N,0.028571429,0,0,-1.230757236,0.494383156,-0.575187683
Cam01,Phase5,LYRU,1,39.00481,-123.09086,39,FoxN,N,0.025641026,0,0,-1.230757236,0.494383156,-0.575187683
Cam01,Phase7,LYRU,0,39.00481,-123.09086,42,FoxN,N,0,0,0,-1.230757236,0.494383156,-0.575187683
Cam01,Phase8,LYRU,0,39.00481,-123.09086,62,FoxY,Y,0,0.0483871,1,-1.230757236,0.494383156,-0.575187683
Cam01,Phase9,LYRU,0,39.00481,-123.09086,49,FoxN,Y,0,0.02040816,1,-1.230757236,0.494383156,-0.575187683
Cam02,Phase1,LYRU,2,39.00682,-123.09022,34,FoxY,N,0.058823529,0,0,-1.226703882,0.101133369,-0.910112679
Cam02,Phase2,LYRU,5,39.00682,-123.09022,64,FoxN,Y,0.078125,0.078125,2,-1.226703882,0.101133369,-0.910112679
Cam02,Phase3,LYRU,4,39.00682,-123.09022,35,FoxY,Y,0.114285714,0.08571429,2,-1.226703882,0.101133369,-0.910112679
Cam02,Phase4,LYRU,0,39.00682,-123.09022,35,FoxN,N,0,0,0,-1.226703882,0.101133369,-0.910112679
Cam02,Phase5,LYRU,1,39.00682,-123.09022,38,FoxY,N,0.026315789,0,0,-1.226703882,0.101133369,-0.910112679
Cam02,Phase7,LYRU,1,39.00682,-123.09022,42,FoxY,N,0.023809524,0,0,-1.226703882,0.101133369,-0.910112679
Cam02,Phase8,LYRU,4,39.00682,-123.09022,62,FoxN,Y,0.064516129,0.09677419,2,-1.226703882,0.101133369,-0.910112679
Cam02,Phase9,LYRU,0,39.00682,-123.09022,49,FoxY,Y,0,0.04081633,1,-1.226703882,0.101133369,-0.910112679
Cam03,Phase1,LYRU,2,39.01852,-123.09297,43,FoxN,N,0.046511628,0,0,-0.567177117,-1.208374023,-0.202180877
Cam03,Phase2,LYRU,4,39.01852,-123.09297,56,FoxY,N,0.071428571,0.01785714,1,-0.567177117,-1.208374023,-0.202180877
Cam03,Phase3,LYRU,1,39.01852,-123.09297,24,FoxN,N,0.041666667,0.04166667,1,-0.567177117,-1.208374023,-0.202180877
Cam03,Phase4,LYRU,4,39.01852,-123.09297,35,FoxY,N,0.114285714,0.05714286,1,-0.567177117,-1.208374023,-0.202180877
Cam03,Phase5,LYRU,8,39.01852,-123.09297,36,FoxN,N,0.222222222,0,0,-0.567177117,-1.208374023,-0.202180877
