X,Camera_folder,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,n_images,Camera,Phase,Foxlight,Dog_Presence
30,Cam01_Phase1_FoxN,LYRU,10/24/2018 6:07,2018-10-24,6:07:42,0,0,0,0,master_cam_photos/Cam01_Phase1_FoxN/LYRU,01150338.JPG,1,Cam01,Phase1,FoxN,Y
33,Cam01_Phase1_FoxN,LYRU,10/24/2018 15:53,2018-10-24,15:53:48,35120,585.3,9.8,0.4,master_cam_photos/Cam01_Phase1_FoxN/LYRU,01150341.JPG,1,Cam01,Phase1,FoxN,Y
34,Cam01_Phase1_FoxN,LYRU,10/28/2018 7:53,2018-10-28,7:53:41,316793,5279.9,88,3.7,master_cam_photos/Cam01_Phase1_FoxN/LYRU,01190362.JPG,1,Cam01,Phase1,FoxN,Y
35,Cam01_Phase1_FoxN,LYRU,10/28/2018 8:10,2018-10-28,8:10:45,1024,17.1,0.3,0,master_cam_photos/Cam01_Phase1_FoxN/LYRU,01190363.JPG,1,Cam01,Phase1,FoxN,Y
325,Cam01_Phase2_FoxY,LYRU,11/26/2018 15:52,2018-11-26,15:52:14,0,0,0,0,master_cam_photos/Cam01_Phase2_FoxY/LYRU,01020178.JPG,1,Cam01,Phase2,FoxY,Y
328,Cam01_Phase2_FoxY,LYRU,12/9/2018 8:44,2018-12-09,8:44:36,1096858,18281,304.7,12.7,master_cam_photos/Cam01_Phase2_FoxY/LYRU,01050796.JPG,1,Cam01,Phase2,FoxY,Y
1216,Cam01_Phase3_FoxN,Dogs,1/25/2019 19:27,2019-01-25,19:27:15,0,0,0,0,master_cam_photos/Cam01_Phase3_FoxN/Dogs,01250123.JPG,1,Cam01,Phase3,FoxN,Y
1805,Cam01_Phase4_FoxY,LYRU,3/8/2019 16:43,2019-03-08,16:43:15,0,0,0,0,master_cam_photos/Cam01_Phase4_FoxY/LYRU,03080768.JPG,1,Cam01,Phase4,FoxY,N
1889,Cam01_Phase5_FoxN,LYRU,4/1/2019 23:16,2019-04-01,23:16:29,0,0,0,0,master_cam_photos/Cam01_Phase5_FoxN/LYRU,04010830.JPG,1,Cam01,Phase5,FoxN,N
2078,Cam01_Phase8_FoxY,Dogs,11/30/2019 14:45,2019-11-30,14:45:49,0,0,0,0,master_cam_photos/Cam01_Phase8_FoxY/Dogs,11300314.JPG,1,Cam01,Phase8,FoxY,Y
2080,Cam01_Phase8_FoxY,Dogs,12/1/2019 8:09,2019-12-01,8:09:30,62620,1043.7,17.4,0.7,master_cam_photos/Cam01_Phase8_FoxY/Dogs,12010346.JPG,1,Cam01,Phase8,FoxY,Y
2083,Cam01_Phase8_FoxY,Dogs,12/2/2019 7:59,2019-12-02,7:59:15,85772,1429.5,23.8,1,master_cam_photos/Cam01_Phase8_FoxY/Dogs,12020408.JPG,1,Cam01,Phase8,FoxY,Y
2377,Cam01_Phase9_FoxN,Dogs,12/11/2019 12:29,2019-12-11,12:29:11,0,0,0,0,master_cam_photos/Cam01_Phase9_FoxN/Dogs,12110001.JPG,1,Cam01,Phase9,FoxN,Y
2582,Cam02_Phase1_FoxY,LYRU,10/21/2018 17:42,2018-10-21,17:42:24,0,0,0,0,master_cam_photos/Cam02_Phase1_FoxY/LYRU,10210181.JPG,1,Cam02,Phase1,FoxY,N
2584,Cam02_Phase1_FoxY,LYRU,10/30/2018 10:14,2018-10-30,10:14:36,750731,12512.2,208.5,8.7,master_cam_photos/Cam02_Phase1_FoxY/LYRU,10300237.JPG,1,Cam02,Phase1,FoxY,N
