"","Phase","Camera","Camera_folder","Species","DateTimeOriginal","Date","Time","delta.time.secs","Directory","FileName","Classification","Sex","Age","BuckClass","DST","Time_DST_Corrected"
"646",4,"B02","B02_092320_110520","Bobcat","10/4/2020 9:43","10/3/2020 17:00","9:43:04",671051,"Reviewed Phase 4/B02_092320_110520/Bobcat","IMG_0241.JPG","Bobcat",NA,NA,NA,TRUE,"9H 43M 4S"
"649",4,"B02","B02_092320_110520","Bobcat","10/25/2020 9:45","10/24/2020 17:00","9:45:13",754737,"Reviewed Phase 4/B02_092320_110520/Bobcat","IMG_0679.JPG","Bobcat",NA,NA,NA,TRUE,"9H 45M 13S"
"652",4,"B02","B02_092320_110520","Bobcat","11/2/2020 13:50","11/1/2020 16:00","13:50:46",5050,"Reviewed Phase 4/B02_092320_110520/Bobcat","IMG_0802.JPG","Bobcat",NA,NA,NA,FALSE,"13H 50M 46S"
"688",4,"B02","B02_110520_031621","Bobcat","1/20/2021 15:55","1/19/2021 16:00","15:55:06",5357519,"Reviewed Phase 4/B02_110520_031621/Bobcat","IMG_2935.JPG","Bobcat",NA,NA,NA,FALSE,"15H 55M 6S"
"757",4,"B02","B02_120919_040120","Bobcat","1/11/2020 12:47","1/10/2020 16:00","12:47:45",0,"Reviewed Phase 4/B02_120919_040120/Bobcat","IMG_2143.JPG","Bobcat",NA,NA,NA,FALSE,"12H 47M 45S"
"760",4,"B02","B02_120919_040120","Bobcat","2/21/2020 18:02","2/20/2020 16:00","18:02:06",2080625,"Reviewed Phase 4/B02_120919_040120/Bobcat","IMG_2659.JPG","Bobcat",NA,NA,NA,FALSE,"18H 2M 6S"
"1033",4,"B04","B04_110120_032321","Bobcat","2/9/2021 7:59","2/8/2021 16:00","7:59:16",3862137,"Reviewed Phase 4/B04_110120_032321/Bobcat","IMG_4621.JPG","Bobcat",NA,NA,NA,FALSE,"7H 59M 16S"
"1645",4,"B06","B06_110120_033121","Bobcat","3/13/2021 9:22","3/12/2021 16:00","9:22:51",156499,"Reviewed Phase 4/B06_110120_033121/Bobcat","IMG_1114.JPG","Bobcat",NA,NA,NA,FALSE,"9H 22M 51S"
"1744",4,"B06","B06_120919_033120","Bobcat","1/25/2020 3:23","1/24/2020 16:00","3:23:44",2575485,"Reviewed Phase 4/B06_120919_033120/Bobcat","IMG_0691.JPG","Bobcat",NA,NA,NA,FALSE,"3H 23M 44S"
"2020",4,"B10","B10_110120_033121","Bobcat","1/27/2021 2:44","1/26/2021 16:00","2:44:00",103152,"Reviewed Phase 4/B10_110120_033121/Bobcat","IMG_0208.JPG","Bobcat",NA,NA,NA,FALSE,"1H 44M 0S"
